Продукт,Категория
гель,"Красота, гигиена, бытовая химия"
антиперспирант,"Красота, гигиена, бытовая химия"
бальзам для волос,"Красота, гигиена, бытовая химия"
бальзам,"Красота, гигиена, бытовая химия"
батончики,"Хлеб, сладости, снеки"
биотворог,"Молоко, сыр, яйца"
бритва,"Красота, гигиена, бытовая химия"
станок,"Красота, гигиена, бытовая химия"
бумага туалетная,"Красота, гигиена, бытовая химия"
варенье,"Соусы, орехи, консервы"
вермишель,"Макароны, крупы, специи"
вино,Другое
вино игристое,Другое
виски,Другое
вода,"Воды, соки, напитки"
вода минеральная,"Воды, соки, напитки"
вода питьевая,"Воды, соки, напитки"
водка,Другое
газированный напиток,"Воды, соки, напитки"
гель для душа,"Красота, гигиена, бытовая химия"
гель для стирки,"Красота, гигиена, бытовая химия"
дезодорант,"Красота, гигиена, бытовая химия"
десерт,"Хлеб, сладости, снеки"
джем,Другое
крем,"Красота, гигиена, бытовая химия"
ежедневные прокладки,"Красота, гигиена, бытовая химия"
каша,"Молоко, сыр, яйца"
жидкое средство,"Красота, гигиена, бытовая химия"
завтрак,"Макароны, крупы, специи"
заправка,"Соусы, орехи, консервы"
зефир,Другое
зубная паста,"Красота, гигиена, бытовая химия"
игрушка,Другое
икра,"Рыба, икра"
ирис,Другое
кетчуп,Другое
йогурт,"Молоко, сыр, яйца"
какао,"Чай, кофе, сахар"
капсулы для стирки,"Красота, гигиена, бытовая химия"
капуста,Замороженные продукты
каша овсяная,"Макароны, крупы, специи"
кашка,Другое
килька,"Рыба, икра"
колбаса,"Птица, мясо, деликатесы"
колбаса вареная,"Птица, мясо, деликатесы"
колбаски,"Птица, мясо, деликатесы"
кондиционер для белья,"Красота, гигиена, бытовая химия"
фасоль,"Соусы, орехи, консервы"
конфеты,"Хлеб, сладости, снеки"
коньяк,Другое
корм для кошек,Другое
кофе,"Чай, кофе, сахар"
кофе растворимый,"Чай, кофе, сахар"
крекер,"Хлеб, сладости, снеки"
крекеры,"Хлеб, сладости, снеки"
крем для лица,"Красота, гигиена, бытовая химия"
чернослив,Другое
шпроты,"Рыба, икра"
лазанья,Замороженные продукты
лакомство для собак,Другое
лапша,"Макароны, крупы, специи"
леденцы,"Хлеб, сладости, снеки"
ликер,Другое
майонез,"Соусы, орехи, консервы"
макаронные изделия,"Макароны, крупы, специи"
макароны,"Макароны, крупы, специи"
мармелад,"Хлеб, сладости, снеки"
масло,"Молоко, сыр, яйца"
масло подсолнечное,"Макароны, крупы, специи"
молоко,"Молоко, сыр, яйца"
мороженое,"Молоко, сыр, яйца"
морс,"Воды, соки, напитки"
мыло жидкое,"Красота, гигиена, бытовая химия"
мыло,"Красота, гигиена, бытовая химия"
мясо цыпленка,"Соусы, орехи, консервы"
набор,Другое
нож,Посуда
набор конфет,"Хлеб, сладости, снеки"
наггетсы,Замороженные продукты
напиток,"Воды, соки, напитки"
напиток пивной,"Воды, соки, напитки"
нектар,"Воды, соки, напитки"
овощечистка,Другое
огурцы,"Соусы, орехи, консервы"
ополаскиватель для полости рта,Другое
паста зубная,"Красота, гигиена, бытовая химия"
паста томатная,Другое
паштет,"Соусы, орехи, консервы"
пельмени,Замороженные продукты
петрушка,"Овощи, фрукты, ягоды"
печенье,"Хлеб, сладости, снеки"
пивной напиток,Другое
пиво,Другое
питьевой йогурт,"Молоко, сыр, яйца"
пицца,Замороженные продукты
подгузники,Другое
подушечки,"Макароны, крупы, специи"
прокладки,"Красота, гигиена, бытовая химия"
пюре,Товары для мам и детей
ряженка,"Молоко, сыр, яйца"
говядина,"Соусы, орехи, консервы"
сайра,"Соусы, орехи, консервы"
салфетки,"Красота, гигиена, бытовая химия"
