name_norm,Категория
кофе воримый лебо экстра,"Чай, кофе, сахар"
мороженое пломбир шоколадный свежайших сливок,Замороженные продукты
моющее средство  бережная уборка полов стен,Товары для дома и дачи
мозаика  алмазная щенок корзине мольбертом,Товары для мам и детей
губка  нубука замши велюра,Товары для дома и дачи
"колбаса сырокопченая ""элитная халяль"" вакууме","Птица, мясо, деликатесы"
бургер мраморной говядины охлажденный,"Птица, мясо, деликатесы"
средство   удаления известкового налета ржавчины,"Красота, гигиена, бытовая химия"
корм котят  консервированный кусочки желе курица,Зоотовары
отруби  льняные мелкий помол,"Соусы, орехи, консервы"
вино божоле виляж аос красное сухое,Алкоголь
"крем тела антицеллюитный ""разогревающий""","Красота, гигиена, бытовая химия"
шампиньоны резаные быстрозамороженные,"Овощи, фрукты, ягоды"
кондиционер    интенсивного увлажнения,"Красота, гигиена, бытовая химия"
мороженое мини эскимо миндаль шоколадный трюфель брюнетка,"Молоко, сыр, яйца"
биолакт ино детей без сахара,Товары для мам и детей
макароны   ракушки,"Макароны, крупы, специи"
емкость  варенья меда,Товары для дома и дачи
гель тараканов муравьев длительного действия,"Красота, гигиена, бытовая химия"
"сыр ""топленое молочко""","Молоко, сыр, яйца"
пицца  ветчина,Замороженные продукты
йогурт  витамины минералы земляника,Товары для мам и детей
конфеты северная аврора крупской,"Хлеб, сладости, снеки"
лазанья четыре сыра,Замороженные продукты
чай  чай   китайский черный,"Чай, кофе, сахар"
мороженое рожок интрига малина банан,Замороженные продукты
молочная смесь  кисломолочный,Товары для мам и детей
шоколадный набор фисташка,"Хлеб, сладости, снеки"
туалетное мыло алоэ вера,Товары для мам и детей
"гель душа  ""облепиховый"" тонизирующий","Красота, гигиена, бытовая химия"
бальзам    волос мега увлажняющий кокосовый,"Красота, гигиена, бытовая химия"
печенье молочное витаминизированное,"Хлеб, сладости, снеки"
"сыр  ""рикотта"" наполнитель ""груша мед""","Молоко, сыр, яйца"
маринад шашлыка,"Макароны, крупы, специи"
крупа кукурузная ,"Соусы, орехи, консервы"
книга володарская исповедь отшельника мяг,Другое
соус  ткемали дамский,"Соусы, орехи, консервы"
стики табачные  фрут буст,Другое
сухой корм собак   курица,Зоотовары
волчок    атлетик,Товары для мам и детей
шапка банная размер имеет значение войлок белая,Дача и гриль
миска животных    керамическая белая,Зоотовары
клюква сахарной пудре,"Хлеб, сладости, снеки"
батарейки  aаa,Товары для дома и дачи
средство  ухода полами плитки камня,"Красота, гигиена, бытовая химия"
решетка гриль   съtмной ручкой универсальная,Товары для дома и дачи
сухой корм кошек телятина аппетитная,Зоотовары
"макароны "" "" джунгли","Соусы, орехи, консервы"
дезодорант    стик мужской древесным ароматом,"Красота, гигиена, бытовая химия"
